customer_id,name,register_date,loyalty_member,customer_category,preferred_branch,preferred_city,visits_last_year,avg_spend,estimated_total_spend,loyalty_points,last_visit,satisfaction_score,nps_score,survey_comment,acquisition_channel,accepts_promotions
CLI-00048,José Hernández,2025-03-06,True,Frecuente,Monterrey,Monterrey,11,441.38,4855.18,485.0,2025-12-04,4,7,Los tacos al pastor son los mejores de la ciudad,Google,False
CLI-00049,Patricia González,2024-10-17,True,VIP,Monterrey,Monterrey,16,174.31,2788.96,278.0,2026-01-12,5,7,Precios justos y porciones generosas,Publicidad,False
CLI-00050,Laura Morales,2024-07-06,False,Frecuente,Guadalajara,Guadalajara,6,322.38,1934.28,0.0,2026-01-09,4,10,"Excelente comida, muy auténtica",Publicidad,True
CLI-00051,Laura Pérez,2025-05-13,True,Frecuente,Cancún,Cancún,8,176.06,1408.48,140.0,2025-11-03,5,8,El mole es espectacular,Ubicación,True
CLI-00052,Eduardo Ortiz,2025-01-30,False,Frecuente,Tijuana,Tijuana,10,231.09,2310.9,0.0,2025-12-05,5,8,Recomiendo ampliamente este lugar,Recomendación,False
CLI-00053,Diana Ortiz,2025-07-10,False,Frecuente,Monterrey,Monterrey,8,153.9,1231.2,0.0,2025-11-14,2,4,El baño necesita limpieza,Redes Sociales,True
CLI-00054,Roberto Pérez,2025-03-06,False,Regular,Ciudad de México Centro,Ciudad de México,4,182.98,731.92,0.0,2025-12-14,5,10,El mole es espectacular,Ubicación,False
CLI-00055,Luis López,2024-07-05,False,Ocasional,Guadalajara,Guadalajara,1,391.24,391.24,0.0,2026-01-17,5,10,Ambiente muy agradable para familia,Redes Sociales,True
CLI-00056,Luis González,2025-08-26,True,VIP,Guadalajara,Guadalajara,22,230.23,5065.06,506.0,2026-01-01,5,7,Ambiente muy agradable para familia,Redes Sociales,True
CLI-00057,Diana Ortiz,2025-10-09,False,Frecuente,Monterrey,Monterrey,9,293.27,2639.43,0.0,2025-12-19,5,7,Comida fresca y bien preparada,Publicidad,True
CLI-00058,Fernando Ortiz,2024-08-18,True,Frecuente,Guadalajara,Guadalajara,6,80.0,480.0,48.0,2026-01-05,4,8,El mole es espectacular,Redes Sociales,False
CLI-00059,Patricia Martínez,2024-10-27,False,Frecuente,León,León,8,196.96,1575.68,0.0,2025-11-11,5,7,El servicio fue muy rápido y amable,Redes Sociales,False
CLI-00060,Fernando Reyes,2025-11-30,True,VIP,Puebla,Puebla,15,202.9,3043.5,304.0,2026-01-30,1,1,El servicio fue muy lento,Recomendación,False
CLI-00061,María García,2025-10-10,True,VIP,Guadalajara,Guadalajara,23,294.16,6765.68,676.0,2025-11-04,4,8,El servicio fue muy rápido y amable,Redes Sociales,True
CLI-00062,Ana Reyes,2025-11-05,False,Frecuente,Tijuana,Tijuana,11,295.54,3250.94,0.0,2025-11-12,4,7,"Siempre regreso, nunca decepciona",Recomendación,False
CLI-00063,Claudia Flores,2025-03-09,False,Frecuente,Ciudad de México Sur,Ciudad de México,9,226.89,2042.01,0.0,2025-12-29,4,8,Precios justos y porciones generosas,Recomendación,True
CLI-00064,Carlos Ortiz,2025-08-01,False,Frecuente,Mérida,Mérida,9,251.23,2261.07,0.0,2026-01-09,5,9,El servicio fue muy rápido y amable,Publicidad,True
CLI-00065,José Flores,2024-09-11,False,Frecuente,Ciudad de México Centro,Ciudad de México,9,307.51,2767.59,0.0,2026-01-28,2,1,El baño necesita limpieza,Recomendación,True
CLI-00066,María Ramírez,2025-10-04,False,Frecuente,Cancún,Cancún,6,143.16,858.96,0.0,2025-12-16,5,9,"Siempre regreso, nunca decepciona",Ubicación,True
CLI-00067,Ricardo Gómez,2025-04-02,False,Frecuente,Monterrey,Monterrey,7,240.62,1684.34,0.0,2025-11-27,5,8,Los tacos al pastor son los mejores de la ciudad,Google,False
CLI-00068,Claudia Rodríguez,2025-11-21,False,Frecuente,Guadalajara,Guadalajara,10,88.0,880.0,0.0,2025-11-22,4,7,El mole es espectacular,Ubicación,True
CLI-00069,José Díaz,2024-06-10,True,VIP,Cancún,Cancún,24,277.69,6664.56,666.0,2025-12-04,4,9,Recomiendo ampliamente este lugar,Ubicación,False
CLI-00070,María Cruz,2025-11-15,True,Frecuente,Ciudad de México Sur,Ciudad de México,6,255.47,1532.82,153.0,2026-01-16,5,10,Precios justos y porciones generosas,Redes Sociales,True
CLI-00071,Eduardo López,2024-04-02,False,Ocasional,Tijuana,Tijuana,1,197.34,197.34,0.0,2025-12-29,3,7,Lugar promedio para comer,Redes Sociales,True
CLI-00072,Mónica Morales,2024-12-11,False,Frecuente,Monterrey,Monterrey,9,315.15,2836.35,0.0,2026-01-07,5,7,Ambiente muy agradable para familia,Redes Sociales,True
CLI-00073,Patricia González,2024-02-08,False,Frecuente,Guadalajara,Guadalajara,7,358.3,2508.1,0.0,2025-12-25,3,7,"Ni bueno ni malo, regular",Redes Sociales,True
CLI-00074,Luis Torres,2024-10-30,False,Ocasional,Guadalajara,Guadalajara,1,367.98,367.98,0.0,2026-01-15,5,9,Ambiente muy agradable para familia,Google,False
CLI-00075,Eduardo Díaz,2024-09-16,True,VIP,Puebla,Puebla,13,224.5,2918.5,291.0,2026-01-26,2,4,La comida llegó fría,Recomendación,True
CLI-00076,Ricardo Hernández,2025-06-25,False,Regular,Querétaro,Querétaro,5,155.48,777.4,0.0,2025-12-11,4,8,"Excelente comida, muy auténtica",Redes Sociales,False
CLI-00077,Claudia Flores,2025-12-10,False,Regular,Guadalajara,Guadalajara,5,191.31,956.55,0.0,2025-11-07,5,7,Ambiente muy agradable para familia,Google,True
CLI-00078,Gabriela Díaz,2024-07-08,False,Frecuente,Puebla,Puebla,9,191.96,1727.64,0.0,2025-11-28,4,7,Recomiendo ampliamente este lugar,Publicidad,False
CLI-00079,Ana Rivera,2025-03-26,True,VIP,Tijuana,Tijuana,21,268.13,5630.73,563.0,2025-12-20,5,8,Los tacos al pastor son los mejores de la ciudad,Ubicación,True
CLI-00080,José Flores,2025-06-07,True,VIP,Ciudad de México Centro,Ciudad de México,14,239.75,3356.5,335.0,2026-01-04,2,2,El lugar estaba muy ruidoso,Redes Sociales,False
CLI-00081,Claudia Pérez,2025-08-30,False,Frecuente,Puebla,Puebla,10,101.81,1018.1,0.0,2025-12-12,4,8,"Siempre regreso, nunca decepciona",Redes Sociales,False
CLI-00082,Ana Martínez,2024-09-12,True,VIP,León,León,19,269.77,5125.63,512.0,2026-01-16,5,7,Comida fresca y bien preparada,Recomendación,True
CLI-00083,Miguel Sánchez,2025-08-18,False,Frecuente,Monterrey,Monterrey,8,151.3,1210.4,0.0,2025-12-11,3,7,"Servicio normal, sin quejas",Publicidad,True
CLI-00084,Patricia Rodríguez,2024-04-16,False,Ocasional,Ciudad de México Centro,Ciudad de México,2,270.19,540.38,0.0,2025-11-28,4,10,El servicio fue muy rápido y amable,Redes Sociales,False
CLI-00085,Fernando Gómez,2024-07-14,True,VIP,Tijuana,Tijuana,18,360.18,6483.24,648.0,2026-01-30,4,7,Comida fresca y bien preparada,Google,False
CLI-00086,Miguel García,2025-01-25,False,Frecuente,Ciudad de México Centro,Ciudad de México,10,146.01,1460.1,0.0,2025-12-09,4,7,El servicio fue muy rápido y amable,Publicidad,True
CLI-00087,Diana Cruz,2024-09-06,False,Frecuente,Monterrey,Monterrey,7,254.9,1784.3,0.0,2025-11-11,4,10,"Siempre regreso, nunca decepciona",Recomendación,True
CLI-00088,Gabriela López,2024-02-06,False,Ocasional,Cancún,Cancún,1,114.13,114.13,0.0,2026-01-04,4,10,Recomiendo ampliamente este lugar,Recomendación,True
CLI-00089,Claudia González,2025-10-22,False,Regular,Ciudad de México Sur,Ciudad de México,5,330.9,1654.5,0.0,2026-01-16,4,9,Recomiendo ampliamente este lugar,Redes Sociales,True
CLI-00090,Gabriela Sánchez,2025-12-06,True,VIP,Tijuana,Tijuana,20,309.73,6194.6,619.0,2025-11-17,2,2,La calidad no fue la esperada,Recomendación,False
CLI-00091,Verónica Pérez,2024-04-26,True,Frecuente,Guadalajara,Guadalajara,11,290.76,3198.36,319.0,2025-11-28,3,5,"Ni bueno ni malo, regular",Recomendación,True
CLI-00092,Alejandro Ramírez,2025-04-16,False,Ocasional,Cancún,Cancún,2,357.38,714.76,0.0,2026-01-27,5,9,El servicio fue muy rápido y amable,Recomendación,True
CLI-00093,Sandra Díaz,2025-01-22,False,Frecuente,Ciudad de México Centro,Ciudad de México,6,348.28,2089.68,0.0,2026-01-01,4,10,"Excelente comida, muy auténtica",Redes Sociales,False
CLI-00094,Verónica Díaz,2025-09-05,False,Frecuente,Ciudad de México Centro,Ciudad de México,9,150.83,1357.47,0.0,2026-01-15,5,10,El servicio fue muy rápido y amable,Recomendación,False
CLI-00095,María Rodríguez,2024-12-29,False,Frecuente,Ciudad de México Centro,Ciudad de México,9,194.65,1751.85,0.0,2025-12-13,5,10,Ambiente muy agradable para familia,Ubicación,False
CLI-00096,Juan García,2025-05-30,False,Ocasional,Mérida,Mérida,2,289.2,578.4,0.0,2026-01-19,4,8,"Siempre regreso, nunca decepciona",Publicidad,False
CLI-00097,Roberto Flores,2025-06-29,False,Frecuente,Cancún,Cancún,9,228.97,2060.73,0.0,2025-12-07,5,7,Comida fresca y bien preparada,Google,True
CLI-00098,Mónica Díaz,2024-07-14,False,Frecuente,Guadalajara,Guadalajara,10,268.51,2685.1,0.0,2025-12-29,4,9,Ambiente muy agradable para familia,Recomendación,False
CLI-00099,José López,2024-10-01,True,Frecuente,Tijuana,Tijuana,5,220.07,1100.35,110.0,2026-01-07,3,6,"Ni bueno ni malo, regular",Redes Sociales,True
CLI-00100,Mónica Ortiz,2025-11-16,False,Regular,Tijuana,Tijuana,3,203.52,610.56,0.0,2026-01-04,2,2,El baño necesita limpieza,Recomendación,True
CLI-00101,Diana López,2024-04-22,True,VIP,Querétaro,Querétaro,19,159.17,3024.23,302.0,2026-01-25,4,9,"Excelente comida, muy auténtica",Publicidad,False
CLI-00102,Luis Martínez,2025-12-17,False,Frecuente,Puebla,Puebla,10,80.0,800.0,0.0,2025-12-05,2,3,Precios un poco elevados para la porción,Recomendación,True
CLI-00103,Laura Gómez,2024-04-03,False,Frecuente,León,León,10,240.66,2406.6,0.0,2025-11-19,2,4,El baño necesita limpieza,Publicidad,False
CLI-00104,Gabriela Ortiz,2025-10-03,False,Frecuente,León,León,11,196.62,2162.82,0.0,2025-11-26,3,6,Cumple con lo básico,Google,True
CLI-00105,Claudia Gómez,2025-01-29,False,Regular,León,León,4,80.0,320.0,0.0,2025-11-20,5,7,Los tacos al pastor son los mejores de la ciudad,Publicidad,True
CLI-00106,Eduardo Torres,2025-09-14,False,Regular,Monterrey,Monterrey,3,191.72,575.16,0.0,2026-01-08,5,8,Ambiente muy agradable para familia,Google,True
CLI-00107,Carlos Díaz,2024-04-05,False,Ocasional,Tijuana,Tijuana,1,354.31,354.31,0.0,2025-11-03,4,7,El mole es espectacular,Ubicación,False
CLI-00108,Mónica González,2025-12-02,False,Frecuente,Ciudad de México Sur,Ciudad de México,8,223.72,1789.76,0.0,2025-11-10,4,10,El mole es espectacular,Recomendación,True
CLI-00109,Miguel Torres,2025-05-22,False,Frecuente,Monterrey,Monterrey,9,164.84,1483.56,0.0,2025-12-21,3,7,"Ni bueno ni malo, regular",Recomendación,False
CLI-00110,Claudia Sánchez,2025-12-16,False,Regular,Tijuana,Tijuana,3,302.73,908.19,0.0,2025-12-26,5,7,Comida fresca y bien preparada,Ubicación,False
CLI-00111,Verónica López,2025-01-18,False,Frecuente,León,León,10,327.01,3270.1,0.0,2026-01-28,4,8,El mole es espectacular,Recomendación,True
CLI-00112,Claudia Ortiz,2025-09-29,False,Frecuente,Cancún,Cancún,11,291.01,3201.11,0.0,2025-11-22,3,6,Lugar promedio para comer,Redes Sociales,True
CLI-00113,Claudia Díaz,2024-08-27,False,Ocasional,Monterrey,Monterrey,1,161.63,161.63,0.0,2025-12-08,4,7,Comida fresca y bien preparada,Publicidad,False
CLI-00114,Carlos Pérez,2025-09-01,False,Frecuente,Querétaro,Querétaro,10,195.54,1955.4,0.0,2025-12-30,4,8,"Siempre regreso, nunca decepciona",Ubicación,False
CLI-00115,Ricardo Ortiz,2025-03-30,True,VIP,León,León,14,321.11,4495.54,449.0,2025-11-12,5,7,Comida fresca y bien preparada,Recomendación,False
CLI-00116,Laura Morales,2024-10-15,False,Ocasional,Ciudad de México Centro,Ciudad de México,1,322.2,322.2,0.0,2025-11-16,5,10,Comida fresca y bien preparada,Ubicación,False
CLI-00117,Ricardo Martínez,2025-06-10,False,Frecuente,Ciudad de México Sur,Ciudad de México,7,360.19,2521.33,0.0,2026-01-22,4,7,Comida fresca y bien preparada,Redes Sociales,False
CLI-00118,Diana Flores,2024-12-14,False,Ocasional,Ciudad de México Centro,Ciudad de México,1,280.27,280.27,0.0,2025-11-25,2,1,La comida llegó fría,Google,True
CLI-00119,Roberto Martínez,2025-11-08,True,Frecuente,León,León,7,277.86,1945.02,194.0,2025-12-04,5,10,"Siempre regreso, nunca decepciona",Recomendación,False
CLI-00120,Eduardo Pérez,2024-03-31,False,Frecuente,Mérida,Mérida,11,272.67,2999.37,0.0,2026-01-13,2,1,El baño necesita limpieza,Ubicación,False
CLI-00121,Patricia Ramírez,2024-04-29,True,VIP,Mérida,Mérida,19,130.79,2485.01,248.0,2025-12-26,4,10,Personal muy atento y profesional,Redes Sociales,True
CLI-00122,Alejandro González,2024-05-02,False,Frecuente,Cancún,Cancún,11,197.67,2174.37,0.0,2026-01-14,5,9,Los tacos al pastor son los mejores de la ciudad,Redes Sociales,True
CLI-00123,Juan Morales,2025-07-22,False,Frecuente,Mérida,Mérida,7,314.24,2199.68,0.0,2025-11-20,3,7,"Comida aceptable, nada extraordinario",Recomendación,False
CLI-00124,Juan Ramírez,2025-10-26,True,VIP,Tijuana,Tijuana,22,285.85,6288.7,628.0,2026-01-07,4,8,Precios justos y porciones generosas,Google,True
CLI-00125,Patricia Martínez,2025-06-09,False,Frecuente,Querétaro,Querétaro,6,142.86,857.16,0.0,2025-12-18,5,10,Los tacos al pastor son los mejores de la ciudad,Redes Sociales,True
CLI-00126,Sandra Martínez,2025-10-14,False,Regular,Monterrey,Monterrey,3,128.65,385.95,0.0,2025-11-15,5,8,El servicio fue muy rápido y amable,Ubicación,True
CLI-00127,Ana Sánchez,2025-08-20,False,Frecuente,Monterrey,Monterrey,9,427.06,3843.54,0.0,2025-12-03,2,4,La calidad no fue la esperada,Publicidad,True
CLI-00128,Claudia Gómez,2024-02-19,True,VIP,Monterrey,Monterrey,19,266.4,5061.6,506.0,2025-11-23,5,9,El servicio fue muy rápido y amable,Redes Sociales,True
CLI-00129,Luis Rodríguez,2025-11-15,False,Frecuente,Guadalajara,Guadalajara,10,399.89,3998.9,0.0,2026-01-13,2,4,La calidad no fue la esperada,Redes Sociales,True
CLI-00130,José López,2024-09-27,False,Ocasional,Puebla,Puebla,1,178.53,178.53,0.0,2026-01-05,5,9,Ambiente muy agradable para familia,Redes Sociales,False
CLI-00131,Ricardo Morales,2024-02-19,False,Frecuente,Guadalajara,Guadalajara,8,145.04,1160.32,0.0,2025-11-27,4,8,Personal muy atento y profesional,Google,False
CLI-00132,Juan García,2024-07-02,False,Frecuente,Ciudad de México Sur,Ciudad de México,8,287.32,2298.56,0.0,2026-01-08,4,7,Recomiendo ampliamente este lugar,Google,True
CLI-00133,Roberto Cruz,2024-06-22,False,Regular,Cancún,Cancún,3,347.37,1042.11,0.0,2025-12-19,4,10,Recomiendo ampliamente este lugar,Recomendación,False
CLI-00134,Diana Reyes,2025-04-29,True,VIP,Cancún,Cancún,12,128.22,1538.64,153.0,2026-01-17,4,8,Comida fresca y bien preparada,Redes Sociales,True
CLI-00135,Fernando Díaz,2025-12-10,True,VIP,Monterrey,Monterrey,23,184.91,4252.93,425.0,2025-11-29,3,7,Cumple con lo básico,Recomendación,True
CLI-00136,Verónica Gómez,2025-11-01,False,Frecuente,Ciudad de México Sur,Ciudad de México,8,325.86,2606.88,0.0,2025-12-11,4,10,Personal muy atento y profesional,Redes Sociales,True
CLI-00137,Ricardo Cruz,2025-12-31,False,Ocasional,Guadalajara,Guadalajara,1,84.3,84.3,0.0,2025-12-14,4,8,"Siempre regreso, nunca decepciona",Redes Sociales,True
CLI-00138,Laura Hernández,2025-10-06,True,VIP,Querétaro,Querétaro,15,221.07,3316.05,331.0,2025-12-12,5,9,Los tacos al pastor son los mejores de la ciudad,Recomendación,True
CLI-00139,Fernando Ortiz,2024-11-14,False,Frecuente,Ciudad de México Sur,Ciudad de México,11,295.87,3254.57,0.0,2025-11-20,1,2,Tuve que esperar mucho por una mesa,Google,False
CLI-00140,Eduardo Hernández,2024-05-31,True,Frecuente,León,León,9,320.08,2880.72,288.0,2025-12-12,5,10,"Siempre regreso, nunca decepciona",Publicidad,False
CLI-00141,José Ortiz,2024-04-04,False,Regular,Puebla,Puebla,4,349.29,1397.16,0.0,2025-11-15,4,9,El mole es espectacular,Recomendación,False
CLI-00142,María Hernández,2024-04-23,True,VIP,Ciudad de México Centro,Ciudad de México,15,80.0,1200.0,120.0,2025-11-04,5,8,"Excelente comida, muy auténtica",Ubicación,False
CLI-00143,Sandra Díaz,2025-03-10,False,Regular,León,León,5,286.03,1430.15,0.0,2025-11-10,5,8,Comida fresca y bien preparada,Recomendación,True
CLI-00144,Diana Flores,2024-03-29,False,Frecuente,León,León,9,207.63,1868.67,0.0,2026-01-23,4,7,Comida fresca y bien preparada,Redes Sociales,True
CLI-00145,Alejandro Ortiz,2025-10-01,False,Frecuente,Ciudad de México Centro,Ciudad de México,11,300.69,3307.59,0.0,2025-12-17,2,2,No había disponibilidad de algunos platillos,Redes Sociales,True
CLI-00146,Sandra Gómez,2024-03-01,False,Regular,Mérida,Mérida,4,289.02,1156.08,0.0,2026-01-08,5,7,Comida fresca y bien preparada,Ubicación,False
CLI-00147,Alejandro Ramírez,2024-03-31,False,Frecuente,Ciudad de México Sur,Ciudad de México,10,256.82,2568.2,0.0,2025-11-08,5,10,El servicio fue muy rápido y amable,Recomendación,True
CLI-00148,Sandra Morales,2024-10-13,False,Frecuente,Guadalajara,Guadalajara,10,155.81,1558.1,0.0,2025-11-28,4,10,Recomiendo ampliamente este lugar,Ubicación,False
CLI-00149,Carlos González,2025-11-24,False,Regular,León,León,4,230.03,920.12,0.0,2025-11-10,2,5,No había disponibilidad de algunos platillos,Publicidad,True
CLI-00150,Eduardo García,2024-12-21,False,Frecuente,Guadalajara,Guadalajara,11,237.06,2607.66,0.0,2026-01-25,3,7,"Servicio normal, sin quejas",Google,True
CLI-00151,María Rivera,2025-01-28,False,Frecuente,Cancún,Cancún,7,80.0,560.0,0.0,2025-11-05,4,10,Recomiendo ampliamente este lugar,Publicidad,True
CLI-00152,María López,2024-12-15,True,Frecuente,Tijuana,Tijuana,10,345.42,3454.2,345.0,2025-12-28,4,9,"Siempre regreso, nunca decepciona",Recomendación,True
CLI-00153,Eduardo Gómez,2025-01-06,False,Regular,Cancún,Cancún,4,235.0,940.0,0.0,2025-11-14,2,3,Precios un poco elevados para la porción,Redes Sociales,True
CLI-00154,Patricia González,2025-05-20,False,Regular,León,León,5,329.64,1648.2,0.0,2026-01-07,5,7,El mole es espectacular,Recomendación,True
