customer_id,name,preferred_branch,preferred_city,customer_category,acquisition_channel,loyalty_member,accepts_promotions,loyalty_points,satisfaction_score,nps_score,recency_days,frequency,monetary,segment_id,persona
CLI-00019,José González,León,León,Frecuente,Redes Sociales,1.0,0.0,85.0,2,4,5,5,854.25,2,Ocasionales Sensibles a Promoción
CLI-00020,Ricardo Ortiz,Guadalajara,Guadalajara,VIP,Recomendación,1.0,1.0,580.0,5,9,10,23,5808.88,0,Leales Premium
CLI-00021,Luis López,Ciudad de México Centro,Ciudad de México,Frecuente,Google,0.0,0.0,0.0,4,8,21,8,914.16,1,Ocasionales Sensibles a Promoción
CLI-00022,María Cruz,León,León,Regular,Redes Sociales,0.0,1.0,0.0,5,7,30,4,1152.92,1,Ocasionales Sensibles a Promoción
CLI-00023,Diana Gómez,Tijuana,Tijuana,VIP,Recomendación,1.0,0.0,271.0,5,10,51,14,2710.54,0,Leales Premium
CLI-00024,Gabriela Ramírez,Ciudad de México Sur,Ciudad de México,VIP,Redes Sociales,1.0,1.0,363.0,5,10,77,18,3633.66,0,Leales Premium
CLI-00025,Ana Gómez,Puebla,Puebla,Regular,Google,0.0,0.0,0.0,5,7,82,3,1060.14,1,Ocasionales Sensibles a Promoción
CLI-00026,Patricia González,Monterrey,Monterrey,Regular,Ubicación,0.0,1.0,0.0,5,10,87,4,553.32,1,Ocasionales Sensibles a Promoción
CLI-00027,Miguel Ramírez,León,León,Ocasional,Redes Sociales,0.0,1.0,0.0,5,7,89,1,374.29,1,Ocasionales Sensibles a Promoción
CLI-00028,Fernando Pérez,Guadalajara,Guadalajara,Frecuente,Redes Sociales,0.0,1.0,0.0,5,10,41,11,3088.91,1,Ocasionales Sensibles a Promoción
CLI-00029,Eduardo Ramírez,Monterrey,Monterrey,Frecuente,Recomendación,0.0,1.0,0.0,4,9,49,11,3593.7,1,Ocasionales Sensibles a Promoción
CLI-00030,Patricia Morales,Puebla,Puebla,Frecuente,Recomendación,0.0,1.0,0.0,4,10,0,7,1835.96,1,Ocasionales Sensibles a Promoción
CLI-00031,José Rodríguez,Tijuana,Tijuana,Regular,Ubicación,0.0,1.0,0.0,5,9,14,5,1620.45,1,Ocasionales Sensibles a Promoción
CLI-00032,Roberto Hernández,Ciudad de México Centro,Ciudad de México,Frecuente,Google,0.0,1.0,0.0,3,6,75,8,1997.68,2,Ocasionales Sensibles a Promoción
CLI-00033,Patricia Reyes,Puebla,Puebla,VIP,Google,1.0,1.0,435.0,5,10,20,20,4355.0,0,Leales Premium
CLI-00034,Carlos García,Mérida,Mérida,Frecuente,Redes Sociales,0.0,1.0,0.0,2,2,65,7,1799.07,2,Ocasionales Sensibles a Promoción
CLI-00035,Claudia Cruz,Ciudad de México Sur,Ciudad de México,VIP,Publicidad,1.0,1.0,279.0,4,7,51,13,2799.68,0,Leales Premium
CLI-00036,Ana Sánchez,Puebla,Puebla,Regular,Ubicación,0.0,0.0,0.0,2,5,73,4,1722.72,2,Ocasionales Sensibles a Promoción
CLI-00037,Mónica Cruz,Ciudad de México Centro,Ciudad de México,VIP,Ubicación,1.0,1.0,120.0,4,9,72,15,1200.0,0,Leales Premium
CLI-00038,Miguel Hernández,Puebla,Puebla,VIP,Ubicación,1.0,1.0,460.0,5,8,75,18,4609.8,0,Leales Premium
CLI-00039,Diana Rivera,Mérida,Mérida,VIP,Redes Sociales,1.0,0.0,796.0,5,7,41,24,7961.52,0,Leales Premium
CLI-00040,Claudia Morales,Tijuana,Tijuana,Frecuente,Recomendación,0.0,0.0,0.0,4,7,55,6,1528.62,1,Ocasionales Sensibles a Promoción
CLI-00041,Ana González,Ciudad de México Centro,Ciudad de México,Frecuente,Publicidad,1.0,1.0,333.0,4,7,68,11,3339.71,0,Leales Premium
CLI-00042,Sandra Reyes,Monterrey,Monterrey,Regular,Recomendación,0.0,1.0,0.0,3,5,12,4,989.96,2,Ocasionales Sensibles a Promoción
CLI-00043,Luis Díaz,Puebla,Puebla,VIP,Ubicación,1.0,0.0,690.0,4,9,11,23,6907.13,0,Leales Premium
CLI-00044,Diana López,Puebla,Puebla,VIP,Publicidad,1.0,1.0,590.0,3,5,30,24,5904.96,0,Leales Premium
CLI-00045,Roberto Ortiz,Ciudad de México Centro,Ciudad de México,VIP,Recomendación,1.0,1.0,666.0,1,1,42,20,6663.2,0,Leales Premium
CLI-00046,Luis Sánchez,Puebla,Puebla,Ocasional,Google,0.0,1.0,0.0,3,6,45,1,273.25,2,Ocasionales Sensibles a Promoción
CLI-00047,Laura García,León,León,Ocasional,Google,0.0,1.0,0.0,5,8,22,1,408.6,1,Ocasionales Sensibles a Promoción
CLI-00048,José Hernández,Monterrey,Monterrey,Frecuente,Google,1.0,0.0,485.0,4,7,58,11,4855.18,0,Leales Premium
CLI-00049,Patricia González,Monterrey,Monterrey,VIP,Publicidad,1.0,0.0,278.0,5,7,19,16,2788.96,0,Leales Premium
CLI-00050,Laura Morales,Guadalajara,Guadalajara,Frecuente,Publicidad,0.0,1.0,0.0,4,10,22,6,1934.28,1,Ocasionales Sensibles a Promoción
CLI-00051,Laura Pérez,Cancún,Cancún,Frecuente,Ubicación,1.0,1.0,140.0,5,8,89,8,1408.48,1,Ocasionales Sensibles a Promoción
CLI-00052,Eduardo Ortiz,Tijuana,Tijuana,Frecuente,Recomendación,0.0,0.0,0.0,5,8,57,10,2310.9,1,Ocasionales Sensibles a Promoción
CLI-00053,Diana Ortiz,Monterrey,Monterrey,Frecuente,Redes Sociales,0.0,1.0,0.0,2,4,78,8,1231.2,2,Ocasionales Sensibles a Promoción
CLI-00054,Roberto Pérez,Ciudad de México Centro,Ciudad de México,Regular,Ubicación,0.0,0.0,0.0,5,10,48,4,731.92,1,Ocasionales Sensibles a Promoción
CLI-00055,Luis López,Guadalajara,Guadalajara,Ocasional,Redes Sociales,0.0,1.0,0.0,5,10,14,1,391.24,1,Ocasionales Sensibles a Promoción
CLI-00056,Luis González,Guadalajara,Guadalajara,VIP,Redes Sociales,1.0,1.0,506.0,5,7,30,22,5065.06,0,Leales Premium
CLI-00057,Diana Ortiz,Monterrey,Monterrey,Frecuente,Publicidad,0.0,1.0,0.0,5,7,43,9,2639.43,1,Ocasionales Sensibles a Promoción
CLI-00058,Fernando Ortiz,Guadalajara,Guadalajara,Frecuente,Redes Sociales,1.0,0.0,48.0,4,8,26,6,480.0,1,Ocasionales Sensibles a Promoción
CLI-00059,Patricia Martínez,León,León,Frecuente,Redes Sociales,0.0,0.0,0.0,5,7,81,8,1575.68,1,Ocasionales Sensibles a Promoción
CLI-00060,Fernando Reyes,Puebla,Puebla,VIP,Recomendación,1.0,0.0,304.0,1,1,1,15,3043.5,2,Ocasionales Sensibles a Promoción
CLI-00061,María García,Guadalajara,Guadalajara,VIP,Redes Sociales,1.0,1.0,676.0,4,8,88,23,6765.68,0,Leales Premium
CLI-00062,Ana Reyes,Tijuana,Tijuana,Frecuente,Recomendación,0.0,0.0,0.0,4,7,80,11,3250.94,1,Ocasionales Sensibles a Promoción
CLI-00063,Claudia Flores,Ciudad de México Sur,Ciudad de México,Frecuente,Recomendación,0.0,1.0,0.0,4,8,33,9,2042.01,1,Ocasionales Sensibles a Promoción
CLI-00064,Carlos Ortiz,Mérida,Mérida,Frecuente,Publicidad,0.0,1.0,0.0,5,9,22,9,2261.07,1,Ocasionales Sensibles a Promoción
CLI-00065,José Flores,Ciudad de México Centro,Ciudad de México,Frecuente,Recomendación,0.0,1.0,0.0,2,1,3,9,2767.59,2,Ocasionales Sensibles a Promoción
CLI-00066,María Ramírez,Cancún,Cancún,Frecuente,Ubicación,0.0,1.0,0.0,5,9,46,6,858.96,1,Ocasionales Sensibles a Promoción
CLI-00067,Ricardo Gómez,Monterrey,Monterrey,Frecuente,Google,0.0,0.0,0.0,5,8,65,7,1684.34,1,Ocasionales Sensibles a Promoción
CLI-00068,Claudia Rodríguez,Guadalajara,Guadalajara,Frecuente,Ubicación,0.0,1.0,0.0,4,7,70,10,880.0,1,Ocasionales Sensibles a Promoción
CLI-00069,José Díaz,Cancún,Cancún,VIP,Ubicación,1.0,0.0,666.0,4,9,58,24,6664.56,0,Leales Premium
CLI-00070,María Cruz,Ciudad de México Sur,Ciudad de México,Frecuente,Redes Sociales,1.0,1.0,153.0,5,10,15,6,1532.82,1,Ocasionales Sensibles a Promoción
CLI-00071,Eduardo López,Tijuana,Tijuana,Ocasional,Redes Sociales,0.0,1.0,0.0,3,7,33,1,197.34,2,Ocasionales Sensibles a Promoción
CLI-00072,Mónica Morales,Monterrey,Monterrey,Frecuente,Redes Sociales,0.0,1.0,0.0,5,7,24,9,2836.35,1,Ocasionales Sensibles a Promoción
CLI-00073,Patricia González,Guadalajara,Guadalajara,Frecuente,Redes Sociales,0.0,1.0,0.0,3,7,37,7,2508.1,2,Ocasionales Sensibles a Promoción
CLI-00074,Luis Torres,Guadalajara,Guadalajara,Ocasional,Google,0.0,0.0,0.0,5,9,16,1,367.98,1,Ocasionales Sensibles a Promoción
CLI-00075,Eduardo Díaz,Puebla,Puebla,VIP,Recomendación,1.0,1.0,291.0,2,4,5,13,2918.5,2,Ocasionales Sensibles a Promoción
CLI-00076,Ricardo Hernández,Querétaro,Querétaro,Regular,Redes Sociales,0.0,0.0,0.0,4,8,51,5,777.4,1,Ocasionales Sensibles a Promoción
CLI-00077,Claudia Flores,Guadalajara,Guadalajara,Regular,Google,0.0,1.0,0.0,5,7,85,5,956.55,1,Ocasionales Sensibles a Promoción
CLI-00078,Gabriela Díaz,Puebla,Puebla,Frecuente,Publicidad,0.0,0.0,0.0,4,7,64,9,1727.64,1,Ocasionales Sensibles a Promoción
CLI-00079,Ana Rivera,Tijuana,Tijuana,VIP,Ubicación,1.0,1.0,563.0,5,8,42,21,5630.73,0,Leales Premium
CLI-00080,José Flores,Ciudad de México Centro,Ciudad de México,VIP,Redes Sociales,1.0,0.0,335.0,2,2,27,14,3356.5,2,Ocasionales Sensibles a Promoción
CLI-00081,Claudia Pérez,Puebla,Puebla,Frecuente,Redes Sociales,0.0,0.0,0.0,4,8,50,10,1018.1,1,Ocasionales Sensibles a Promoción
CLI-00082,Ana Martínez,León,León,VIP,Recomendación,1.0,1.0,512.0,5,7,15,19,5125.63,0,Leales Premium
CLI-00083,Miguel Sánchez,Monterrey,Monterrey,Frecuente,Publicidad,0.0,1.0,0.0,3,7,51,8,1210.4,2,Ocasionales Sensibles a Promoción
CLI-00084,Patricia Rodríguez,Ciudad de México Centro,Ciudad de México,Ocasional,Redes Sociales,0.0,0.0,0.0,4,10,64,2,540.38,1,Ocasionales Sensibles a Promoción
CLI-00085,Fernando Gómez,Tijuana,Tijuana,VIP,Google,1.0,0.0,648.0,4,7,1,18,6483.24,0,Leales Premium
CLI-00086,Miguel García,Ciudad de México Centro,Ciudad de México,Frecuente,Publicidad,0.0,1.0,0.0,4,7,53,10,1460.1,1,Ocasionales Sensibles a Promoción
CLI-00087,Diana Cruz,Monterrey,Monterrey,Frecuente,Recomendación,0.0,1.0,0.0,4,10,81,7,1784.3,1,Ocasionales Sensibles a Promoción
CLI-00088,Gabriela López,Cancún,Cancún,Ocasional,Recomendación,0.0,1.0,0.0,4,10,27,1,114.13,1,Ocasionales Sensibles a Promoción
CLI-00089,Claudia González,Ciudad de México Sur,Ciudad de México,Regular,Redes Sociales,0.0,1.0,0.0,4,9,15,5,1654.5,1,Ocasionales Sensibles a Promoción
CLI-00090,Gabriela Sánchez,Tijuana,Tijuana,VIP,Recomendación,1.0,0.0,619.0,2,2,75,20,6194.6,0,Leales Premium
CLI-00091,Verónica Pérez,Guadalajara,Guadalajara,Frecuente,Recomendación,1.0,1.0,319.0,3,5,64,11,3198.36,0,Leales Premium
CLI-00092,Alejandro Ramírez,Cancún,Cancún,Ocasional,Recomendación,0.0,1.0,0.0,5,9,4,2,714.76,1,Ocasionales Sensibles a Promoción
CLI-00093,Sandra Díaz,Ciudad de México Centro,Ciudad de México,Frecuente,Redes Sociales,0.0,0.0,0.0,4,10,30,6,2089.68,1,Ocasionales Sensibles a Promoción
CLI-00094,Verónica Díaz,Ciudad de México Centro,Ciudad de México,Frecuente,Recomendación,0.0,0.0,0.0,5,10,16,9,1357.47,1,Ocasionales Sensibles a Promoción
CLI-00095,María Rodríguez,Ciudad de México Centro,Ciudad de México,Frecuente,Ubicación,0.0,0.0,0.0,5,10,49,9,1751.85,1,Ocasionales Sensibles a Promoción
CLI-00096,Juan García,Mérida,Mérida,Ocasional,Publicidad,0.0,0.0,0.0,4,8,12,2,578.4,1,Ocasionales Sensibles a Promoción
CLI-00097,Roberto Flores,Cancún,Cancún,Frecuente,Google,0.0,1.0,0.0,5,7,55,9,2060.73,1,Ocasionales Sensibles a Promoción
CLI-00098,Mónica Díaz,Guadalajara,Guadalajara,Frecuente,Recomendación,0.0,0.0,0.0,4,9,33,10,2685.1,1,Ocasionales Sensibles a Promoción
CLI-00099,José López,Tijuana,Tijuana,Frecuente,Redes Sociales,1.0,1.0,110.0,3,6,24,5,1100.35,2,Ocasionales Sensibles a Promoción
CLI-00100,Mónica Ortiz,Tijuana,Tijuana,Regular,Recomendación,0.0,1.0,0.0,2,2,27,3,610.56,2,Ocasionales Sensibles a Promoción
CLI-00101,Diana López,Querétaro,Querétaro,VIP,Publicidad,1.0,0.0,302.0,4,9,6,19,3024.23,0,Leales Premium
CLI-00102,Luis Martínez,Puebla,Puebla,Frecuente,Recomendación,0.0,1.0,0.0,2,3,57,10,800.0,2,Ocasionales Sensibles a Promoción
CLI-00103,Laura Gómez,León,León,Frecuente,Publicidad,0.0,0.0,0.0,2,4,73,10,2406.6,2,Ocasionales Sensibles a Promoción
CLI-00104,Gabriela Ortiz,León,León,Frecuente,Google,0.0,1.0,0.0,3,6,66,11,2162.82,2,Ocasionales Sensibles a Promoción
CLI-00105,Claudia Gómez,León,León,Regular,Publicidad,0.0,1.0,0.0,5,7,72,4,320.0,1,Ocasionales Sensibles a Promoción
CLI-00106,Eduardo Torres,Monterrey,Monterrey,Regular,Google,0.0,1.0,0.0,5,8,23,3,575.16,1,Ocasionales Sensibles a Promoción
CLI-00107,Carlos Díaz,Tijuana,Tijuana,Ocasional,Ubicación,0.0,0.0,0.0,4,7,89,1,354.31,1,Ocasionales Sensibles a Promoción
CLI-00108,Mónica González,Ciudad de México Sur,Ciudad de México,Frecuente,Recomendación,0.0,1.0,0.0,4,10,82,8,1789.76,1,Ocasionales Sensibles a Promoción
CLI-00109,Miguel Torres,Monterrey,Monterrey,Frecuente,Recomendación,0.0,0.0,0.0,3,7,41,9,1483.56,2,Ocasionales Sensibles a Promoción
CLI-00110,Claudia Sánchez,Tijuana,Tijuana,Regular,Ubicación,0.0,0.0,0.0,5,7,36,3,908.19,1,Ocasionales Sensibles a Promoción
CLI-00111,Verónica López,León,León,Frecuente,Recomendación,0.0,1.0,0.0,4,8,3,10,3270.1,1,Ocasionales Sensibles a Promoción
CLI-00112,Claudia Ortiz,Cancún,Cancún,Frecuente,Redes Sociales,0.0,1.0,0.0,3,6,70,11,3201.11,2,Ocasionales Sensibles a Promoción
CLI-00113,Claudia Díaz,Monterrey,Monterrey,Ocasional,Publicidad,0.0,0.0,0.0,4,7,54,1,161.63,1,Ocasionales Sensibles a Promoción
CLI-00114,Carlos Pérez,Querétaro,Querétaro,Frecuente,Ubicación,0.0,0.0,0.0,4,8,32,10,1955.4,1,Ocasionales Sensibles a Promoción
CLI-00115,Ricardo Ortiz,León,León,VIP,Recomendación,1.0,0.0,449.0,5,7,80,14,4495.54,0,Leales Premium
CLI-00116,Laura Morales,Ciudad de México Centro,Ciudad de México,Ocasional,Ubicación,0.0,0.0,0.0,5,10,76,1,322.2,1,Ocasionales Sensibles a Promoción
CLI-00117,Ricardo Martínez,Ciudad de México Sur,Ciudad de México,Frecuente,Redes Sociales,0.0,0.0,0.0,4,7,9,7,2521.33,1,Ocasionales Sensibles a Promoción
CLI-00118,Diana Flores,Ciudad de México Centro,Ciudad de México,Ocasional,Google,0.0,1.0,0.0,2,1,67,1,280.27,2,Ocasionales Sensibles a Promoción
CLI-00119,Roberto Martínez,León,León,Frecuente,Recomendación,1.0,0.0,194.0,5,10,58,7,1945.02,1,Ocasionales Sensibles a Promoción
CLI-00120,Eduardo Pérez,Mérida,Mérida,Frecuente,Ubicación,0.0,0.0,0.0,2,1,18,11,2999.37,2,Ocasionales Sensibles a Promoción
CLI-00121,Patricia Ramírez,Mérida,Mérida,VIP,Redes Sociales,1.0,1.0,248.0,4,10,36,19,2485.01,0,Leales Premium
CLI-00122,Alejandro González,Cancún,Cancún,Frecuente,Redes Sociales,0.0,1.0,0.0,5,9,17,11,2174.37,1,Ocasionales Sensibles a Promoción
CLI-00123,Juan Morales,Mérida,Mérida,Frecuente,Recomendación,0.0,0.0,0.0,3,7,72,7,2199.68,2,Ocasionales Sensibles a Promoción
CLI-00124,Juan Ramírez,Tijuana,Tijuana,VIP,Google,1.0,1.0,628.0,4,8,24,22,6288.7,0,Leales Premium
CLI-00125,Patricia Martínez,Querétaro,Querétaro,Frecuente,Redes Sociales,0.0,1.0,0.0,5,10,44,6,857.16,1,Ocasionales Sensibles a Promoción
CLI-00126,Sandra Martínez,Monterrey,Monterrey,Regular,Ubicación,0.0,1.0,0.0,5,8,77,3,385.95,1,Ocasionales Sensibles a Promoción
CLI-00127,Ana Sánchez,Monterrey,Monterrey,Frecuente,Publicidad,0.0,1.0,0.0,2,4,59,9,3843.54,2,Ocasionales Sensibles a Promoción
CLI-00128,Claudia Gómez,Monterrey,Monterrey,VIP,Redes Sociales,1.0,1.0,506.0,5,9,69,19,5061.6,0,Leales Premium
CLI-00129,Luis Rodríguez,Guadalajara,Guadalajara,Frecuente,Redes Sociales,0.0,1.0,0.0,2,4,18,10,3998.9,2,Ocasionales Sensibles a Promoción
CLI-00130,José López,Puebla,Puebla,Ocasional,Redes Sociales,0.0,0.0,0.0,5,9,26,1,178.53,1,Ocasionales Sensibles a Promoción
CLI-00131,Ricardo Morales,Guadalajara,Guadalajara,Frecuente,Google,0.0,0.0,0.0,4,8,65,8,1160.32,1,Ocasionales Sensibles a Promoción
CLI-00132,Juan García,Ciudad de México Sur,Ciudad de México,Frecuente,Google,0.0,1.0,0.0,4,7,23,8,2298.56,1,Ocasionales Sensibles a Promoción
CLI-00133,Roberto Cruz,Cancún,Cancún,Regular,Recomendación,0.0,0.0,0.0,4,10,43,3,1042.11,1,Ocasionales Sensibles a Promoción
CLI-00134,Diana Reyes,Cancún,Cancún,VIP,Redes Sociales,1.0,1.0,153.0,4,8,14,12,1538.64,0,Leales Premium
CLI-00135,Fernando Díaz,Monterrey,Monterrey,VIP,Recomendación,1.0,1.0,425.0,3,7,63,23,4252.93,0,Leales Premium
CLI-00136,Verónica Gómez,Ciudad de México Sur,Ciudad de México,Frecuente,Redes Sociales,0.0,1.0,0.0,4,10,51,8,2606.88,1,Ocasionales Sensibles a Promoción
CLI-00137,Ricardo Cruz,Guadalajara,Guadalajara,Ocasional,Redes Sociales,0.0,1.0,0.0,4,8,48,1,84.3,1,Ocasionales Sensibles a Promoción
CLI-00138,Laura Hernández,Querétaro,Querétaro,VIP,Recomendación,1.0,1.0,331.0,5,9,50,15,3316.05,0,Leales Premium
CLI-00139,Fernando Ortiz,Ciudad de México Sur,Ciudad de México,Frecuente,Google,0.0,0.0,0.0,1,2,72,11,3254.57,2,Ocasionales Sensibles a Promoción
CLI-00140,Eduardo Hernández,León,León,Frecuente,Publicidad,1.0,0.0,288.0,5,10,50,9,2880.72,0,Leales Premium
CLI-00141,José Ortiz,Puebla,Puebla,Regular,Recomendación,0.0,0.0,0.0,4,9,77,4,1397.16,1,Ocasionales Sensibles a Promoción
CLI-00142,María Hernández,Ciudad de México Centro,Ciudad de México,VIP,Ubicación,1.0,0.0,120.0,5,8,88,15,1200.0,0,Leales Premium
CLI-00143,Sandra Díaz,León,León,Regular,Recomendación,0.0,1.0,0.0,5,8,82,5,1430.15,1,Ocasionales Sensibles a Promoción
CLI-00144,Diana Flores,León,León,Frecuente,Redes Sociales,0.0,1.0,0.0,4,7,8,9,1868.67,1,Ocasionales Sensibles a Promoción
CLI-00145,Alejandro Ortiz,Ciudad de México Centro,Ciudad de México,Frecuente,Redes Sociales,0.0,1.0,0.0,2,2,45,11,3307.59,2,Ocasionales Sensibles a Promoción
CLI-00146,Sandra Gómez,Mérida,Mérida,Regular,Ubicación,0.0,0.0,0.0,5,7,23,4,1156.08,1,Ocasionales Sensibles a Promoción
CLI-00147,Alejandro Ramírez,Ciudad de México Sur,Ciudad de México,Frecuente,Recomendación,0.0,1.0,0.0,5,10,84,10,2568.2,1,Ocasionales Sensibles a Promoción
CLI-00148,Sandra Morales,Guadalajara,Guadalajara,Frecuente,Ubicación,0.0,0.0,0.0,4,10,64,10,1558.1,1,Ocasionales Sensibles a Promoción
CLI-00149,Carlos González,León,León,Regular,Publicidad,0.0,1.0,0.0,2,5,82,4,920.12,2,Ocasionales Sensibles a Promoción
CLI-00150,Eduardo García,Guadalajara,Guadalajara,Frecuente,Google,0.0,1.0,0.0,3,7,6,11,2607.66,2,Ocasionales Sensibles a Promoción
CLI-00151,María Rivera,Cancún,Cancún,Frecuente,Publicidad,0.0,1.0,0.0,4,10,87,7,560.0,1,Ocasionales Sensibles a Promoción
CLI-00152,María López,Tijuana,Tijuana,Frecuente,Recomendación,1.0,1.0,345.0,4,9,34,10,3454.2,0,Leales Premium
CLI-00153,Eduardo Gómez,Cancún,Cancún,Regular,Redes Sociales,0.0,1.0,0.0,2,3,78,4,940.0,2,Ocasionales Sensibles a Promoción
CLI-00154,Patricia González,León,León,Regular,Recomendación,0.0,1.0,0.0,5,7,24,5,1648.2,1,Ocasionales Sensibles a Promoción
CLI-00155,Laura Ramírez,Querétaro,Querétaro,Frecuente,Redes Sociales,1.0,0.0,297.0,5,8,61,10,2979.6,0,Leales Premium
CLI-00156,Fernando Gómez,León,León,Frecuente,Recomendación,1.0,1.0,334.0,5,8,28,10,3348.4,0,Leales Premium
CLI-00157,Diana Rivera,Tijuana,Tijuana,Frecuente,Recomendación,1.0,1.0,88.0,5,9,47,8,884.0,1,Ocasionales Sensibles a Promoción
CLI-00158,Mónica Cruz,Cancún,Cancún,VIP,Ubicación,1.0,0.0,674.0,2,3,78,22,6748.94,0,Leales Premium
CLI-00159,Gabriela Ramírez,Monterrey,Monterrey,VIP,Publicidad,1.0,0.0,136.0,5,7,86,14,1361.22,0,Leales Premium
CLI-00160,Ana Morales,Guadalajara,Guadalajara,Ocasional,Recomendación,0.0,1.0,0.0,3,7,42,1,186.77,2,Ocasionales Sensibles a Promoción
CLI-00161,José Martínez,Monterrey,Monterrey,Frecuente,Ubicación,0.0,1.0,0.0,4,9,41,7,1806.35,1,Ocasionales Sensibles a Promoción
CLI-00162,Fernando Flores,Monterrey,Monterrey,Frecuente,Recomendación,1.0,1.0,291.0,4,10,27,10,2911.3,0,Leales Premium
CLI-00163,Eduardo López,Cancún,Cancún,VIP,Recomendación,1.0,0.0,405.0,5,9,2,19,4054.79,0,Leales Premium
CLI-00164,Carlos López,Ciudad de México Sur,Ciudad de México,Frecuente,Ubicación,1.0,1.0,87.0,3,6,58,6,875.7,2,Ocasionales Sensibles a Promoción
CLI-00165,Ana Cruz,Ciudad de México Centro,Ciudad de México,Frecuente,Publicidad,0.0,1.0,0.0,3,6,0,10,2745.2,2,Ocasionales Sensibles a Promoción
CLI-00166,Patricia Cruz,Querétaro,Querétaro,Frecuente,Recomendación,0.0,1.0,0.0,4,10,42,7,1249.08,1,Ocasionales Sensibles a Promoción
CLI-00167,Fernando Cruz,Mérida,Mérida,Frecuente,Publicidad,0.0,1.0,0.0,5,8,38,9,3504.15,1,Ocasionales Sensibles a Promoción
CLI-00168,Fernando Cruz,Puebla,Puebla,Frecuente,Redes Sociales,0.0,0.0,0.0,4,9,54,9,2815.11,1,Ocasionales Sensibles a Promoción
CLI-00169,Fernando Torres,Guadalajara,Guadalajara,VIP,Redes Sociales,1.0,0.0,509.0,5,10,10,14,5090.82,0,Leales Premium
CLI-00170,María González,Ciudad de México Centro,Ciudad de México,Ocasional,Recomendación,0.0,1.0,0.0,3,6,39,1,331.01,2,Ocasionales Sensibles a Promoción
CLI-00171,Luis Sánchez,Monterrey,Monterrey,Frecuente,Redes Sociales,1.0,1.0,248.0,5,7,40,9,2480.22,0,Leales Premium
CLI-00172,Fernando Flores,Tijuana,Tijuana,Regular,Recomendación,0.0,1.0,0.0,4,7,23,4,941.52,1,Ocasionales Sensibles a Promoción
CLI-00173,Gabriela Cruz,Cancún,Cancún,Frecuente,Recomendación,0.0,1.0,0.0,4,8,62,7,1847.58,1,Ocasionales Sensibles a Promoción
